70.810,Púrpura Real,Royal Purple,#483D51
70.811,Violeta Azul,Blue Violet,#666498
70.960,Violeta,Violet,#453F5D
70.898,Azul Marina Oscuro,Dark Sea Blue,#3A3F42
70.887,US Verde Oliva,US Olive Drab,#525046
70.924,Uniforme Ruso WWII,Russian Unf. WWII,#5A5A4D
70.893,Verde Americano,US Dark Green,#4C4E46
70.894,Cam. Verde Oliva,Cam. Olive Green,#474A41
70.921,Uniforme Inglés,English Uniform,#5E5342
70.873,Tierra,US Field Drab,#685C4E
70.983,Tierra Mate,Flat Earth,#5F5041
70.825,Al. Cam. Pardo Claro,Ger. Cam. Pale Brown,#6B5F55
70.935,Naranja Transparente,Transparent Orange,#D46B3D
70.934,Rojo Transparente,Transparent Red,#973840
70.938,Azul Transparente,Transparent Blue,#31374E
70.936,Verde Transparente,Transparent Green,#337751
70.951,Blanco,White,#FFFFFF
70.919,Blanco Frío,Cold White,#FFFFFF
70.842,Blanco Brillo,Gloss White,#F0EFEB
70.820,Blanco Pergamino,Offwhite,#E4E3D4
70.807,Azul Oxford,Oxford Blue,#4A4B61
70.899,Azul Prusia Oscuro,Dark Prussian Blue,#17232D
70.965,Azul de Prusia,Prussian Blue,#44566A
70.925,Azul Intenso,Blue,#222E4F
70.979,Al. Cam. Verde Osc.,G. Cam. Dark Green,#414440
70.897,Verde Bronzeado,Bronze Green,#474A49
70.896,Al.C. Verde Extra Osc.,G.C. Extra Dark Green,#404342
70.980,Verde Negro,Black Green,#39413D
70.826,Al. Cam. Pardo Medio,Ger. Cam. Med. Brown,#50483D
70.985,Marrón Rojizo,Hull Red,#37231F
70.871,Marrón Cuero Oscuro,Leather Brown,#4C4741
70.941,Sombra Tostada,Burnt Umber,#4B4740
70.918,Hueso,Ivory,#ECE9CA
70.928,Carne Clara,Light Flesh,#EDCFBB
70.837,Arena Clara,Pale Sand,#EACEAC
70.917,Beige,Beige,#C8AD82
70.930,Azul Oscuro,Dark Blue,#415C88
70.809,Azul Real,Royal Blue,#3B5981
70.839,Azul Ultramar,Ultramarine,#39548D
70.962,Azul Mate,Flat Blue,#4B6389
70.886,Gris Verdoso,Green Grey,#6B6B63
70.83,Verde Alemán WWII,G. Fieldgrey WWII,#555651
70.821,Al. Cam. Beige WWII,Ger.C. Beige WWII,#7F7C6D
70.884,Gris Piedra,Stone Grey,#8E8C7E
70.872,Marrón Chocolate,Chocolate Brown,#47423C
70.822,Al. Cam. Pardo Negro,Ger. C. Black Brown,#3D3D3A
70.993,Gris Blanco,White Grey,#E7E8E6
70.883,Gris Plateado,Silvergrey,#BAB8AE
70.916,Amarillo Arena,Sand Yellow,#D0AD78
70.949,Amarillo Claro,Light Yellow,#F5E77A
70.952,Amarillo Limón,Lemon Yellow,#F4E964
70.806,Amarillo Lasur,German Yellow,#B7B17F
70.963,Azul Medio,Medium Blue,#3A5B74
70.964,Azul Militar,Field Blue,#545E65
70.900,Azul Francés,French Mirage Blue,#5A6068
70.903,Azul Americano,Intermediate Blue,#5F666C
70.816,Unif. Luftwaffe WWII,Luftwaffe Unf. WWII,#4B515B
70.971,Verde Gris Pálido,Green Grey,#A4A99F
70.972,Verde Azul Pálido,Light Green Blue,#75938B
70.973,Verde Gris Medio,Light Sea Grey,#94A4A4
70.907,Azul Gris Claro,Pale Grey Blue,#97A5AA
70.989,Gris Cielo,Sky Grey,#93989B
70.990,Gris Pálido,Light Grey,#80878F
70.905,Gris Azul Claro,Blue Grey Pale,#767F84
70.858,Amarillo Hielo,Ice Yellow,#EBD095
70.915,Amarillo Intenso,Deep Yellow,#F8E15F
70.953,Amarillo Mate,Flat Yellow,#E9AF5C
70.948,Amarillo Dorado,Golden Yellow,#E8AC6A
70.943,Azul Gris,Grey Blue,#6B7A8E
70.902,Azul Azur,Azure,#687FA6
70.901,Azul Pastel,Pastel Blue,#677D8A
70.906,Azul Pálido,Pale Blue,#8B9C9C
70.885,Verde Pastel,Pastel Green,#949A8A
70.986,Marrón Cubierta,Deck Tan,#A1A39A
70.987,Gris Medio,Medium Grey,#878176
70.881,Verde Amarillo,Yellow Green,#676348
70.904,Gris Azul Oscuro,Dark Blue Grey,#697A7E
70.870,Gris Marina Medio,Medium Sea Grey,#767A7C
70.991,Gris Marina,Dark Sea Grey,#707275
70.992,Gris Neutral,Neutral Grey,#64696E
70.815,Carne Base,Basic Skin Tone,#DFB096
70.955,Carne Mate,Flat Flesh,#CA9B7B
70.927,Carne Oscura,Dark Flesh,#BF9369
70.845,Carne Dorada,Sunny Skin Tone,#D7A57A
70.841,Azul Andrea,Andrea Blue,#428BB0
70.844,Azul Profundo,Deep Sky Blue,#5AA5C8
70.961,Azul Cielo,Sky Blue,#7DC0DD
70.840,Turquesa Claro,Light Turquoise,#418893
70.880,Gris Caqui,Khaki Grey,#71644D
70.879,Marrón Verde,Green Brown,#706349
70.988,Marrón Caqui,Khaki,#746E5C
70.978,Amarillo Camuflaje,Dark Yellow,#807A55
70.836,Gris Londres,London Grey,#5D6268
70.869,Gris Basalto,Basalt Grey,#5D6166
70.868,Verde Marina Oscuro,Dark Sea Green,#4C5157
70.867,Azul Gris Oscuro,Dark Blue Grey,#424A43
70.860,Carne Medio,Medium Flesh Tone,#A17C5A
70.911,Naranja Claro,Light Orange,#DC8655
70.805,Naranja Alemán,German Orange,#B57D72
70.851,Naranja Intenso,Bright Orange,#D36744
70.966,Turquesa,Turquoise,#42646F
70.808,Azul Verde,Blue Green,#439393
70.838,Esmeralda,Emerald,#3B8062
70.970,Verde Oscuro,Deep Green,#3D5A4D
70.923,Uniforme Japonés WWII,Japan Uniform WWII,#89734B
70.882,Amarillo Piedra,Middlestone,#807557
70.914,Ocre Verde,Green Ochre,#907C5F
70.976,Amarillo Caqui,Buff,#B8A47F
70.866,Gris Verde,Grey Green,#505355
70.994,Gris Oscuro,Dark Grey,#454A4C
70.995,Gris Alemán,German Grey,#3C3F43
70.862,Gris Negro,Black Grey,#3F4242
70.956,Naranja,Clear Orange,#AD5445
70.817,Escarlata,Scarlet,#9F4B4A
70.910,Rojo Claro,Orange Red,#C25236
70.909,Bermellón,Vermilion,#B13A36
70.969,Verde,Park Green Flat,#3A735D
70.891,Verde Medio,Intermediate Green,#548651
70.942,Verde Claro,Light Green,#568F66
70.974,Verde Azul,Green Sky,#7F937B
70.913,Ocre Amarillo,Yellow Ochre,#AB885A
70.912,Marrón Amarillo,Tan Yellow,#A98E6F
70.847,Arena Oscura,Dark Sand,#BDA682
70.819,Arena Iraquí,Iraqi Sand,#A89379
70.950,Negro,Black,#232627
70.861,Negro Brillante,Glossy Black,#0D0E0D
70.997,Plata,Silver,#C0C8C4
70.996,Oro,Gold,#BAA465
70.947,Bermellón Oscuro,Dark Vermillion,#974342
70.908,Rojo Carmín,Carmine Red,#963334
70.957,Rojo Mate,Flat Red,#894240
70.946,Rojo Oscuro,Dark Red,#71444B
70.827,Verde Lima,Lime Green,#808A55
70.954,Amarillo Verde,Yellow Green,#BED064
70.857,Oliva Dorado,Golden Olive,#747851
70.833,A. Cam. Verde Claro,G.C. Bright Green,#586750
70.977,Amarillo Desierto,Desert Yellow,#9F8567
70.877,Marrón Dorado,Gold Brown,#9D7C54
70.856,Ocre Marrón,Ochre Brown,#966F40
70.824,A.C. Ocre Naranja,G.C. Orange Ochre,#8B7454
70.878,Oro Viejo,Old Gold,#887B54
70.801,Latón,Brass,#7F653E
70.998,Bronce,Bronze,#676340
70.999,Cobre,Copper,#7E5640
70.926,Rojo,Red,#712E30
70.814,Rojo Tostado,Burnt Red,#4E3B39
70.859,Rojo Negro,Black Red,#403432
70.804,Rojo Beige,Beige Red,#A27D6C
70.850,Oliva Medio,Medium Olive,#3E6439
70.967,Verde Oliva,Olive Green,#5A654A
70.968,Verde Oliva Oscuro,Flat Green,#445243
70.922,Verde Uniforme,Uniform Green,#54614B
70.929,Marrón Claro,Light Brown,#936D53
70.829,Rojo Amaranth,Amaranth Red,#A15847
70.981,Marrón Naranja,Orange Brown,#9F6A49
70.876,Arena Marrón,Brown Sand,#897060
70.865,Acero Engrasado,Oily Steel,#696B6C
70.864,Acero Natural,Natural Steel,#7B7E79
70.863,Gris Metalizado,Gunmetal Grey,#5A5F5A
70.800,Metal Azul,Gunmetal Blue,#33444F
70.835,Rosa Salmón,Salmon Rose,#DEA497
70.803,Rosa Marrón,Brown Rose,#9D7B7C
70.944,Rosa Antiguo,Old Rose,#C07A75
70.958,Rosa,Pink,#AA739F
70.920,Uniforme Alemán,German Uniform,#4D5955
70.823,Alemán Cam. Luftwaffe,Luftwaffe Cam. Green,#404840
70.892,Oliva Amarillo,Yellow Olive,#444841
70.895,Verde Acorazado,Gunship Green,#4E5952
70.843,Marrón Corcho,Cork Brown,#90715C
70.874,Tierra Oscura,Tan Earth,#7C6C5C
70.875,Marrón Beige,Beige Brown,#7F6F60
70.818,Cuero Rojo,Red Leather,#745245
70.939,Humo,Smoke,#393933
70.828,Madera Caoba,Woodgrain,#3C3630
70.834,Madera Natural,Natural Woodgrain,#D59C54
70.937,Amarillo Transparente,Transparent Yellow,#E29F47
70.802,Rojo Sunset,Sunset Red,#A14861
70.945,Magenta,Magenta,#A23436
70.812,Rojo Violeta,Violet Red,#502735
70.959,Púrpura,Purple,#645472
70.975,Verde Militar,Military Green,#3C3F38
70.890,Verde Refractario,Refractive Green,#4A4C41
70.889,Pardo Oliva,Olive Brown,#454540
70.888,Gris Oliva,Olive Grey,#4A4B44
70.982,Marrón Rojo,Cavalry Brown,#653531
70.940,Marrón Cuero,Saddle Brown,#5D4E49
70.846,Marrón Caoba,Mahogany Brown,#5D4C46
70.984,Marrón Mate,Flat Brown,#4D3F39
70.540,Medium Mate,Matt Medium,#FFFFFF
70.470,Medium Brillante,Gloss Medium,#FFFFFF
70.521,Medium Metálico,Metal Medium,#FFFFFF
70.520,Barniz Mate,Matt Varnish,#FFFFFF
70.510,Barniz Brillante,Gloss Varnish,#FFFFFF
70.522,Barniz Satinado,Satin Varnish,#FFFFFF
70.596,Medium Veladuras,Glaze Medium,#FFFFFF
70.597,Retardante,Retarder Medium,#FFFFFF
70.523,Máscara Líquida,Liquid Mask,#FFFFFF
70.598,Medium Craquelar,Crackle Medium,#FFFFFF
70.400,Masilla Plástica,Plastic Putty,#FFFFFF
70.524,Diluyente,Thinner,#FFFFFF
71.261,Diluyente Aerógrafo,Airbrush Thinner,#FFFFFF
71.262,Flow Improver,Flow Improver,#FFFFFF
73.212,Ablandador Calcas,Decal Softener,#FFFFFF
73.213,Fijador Calcas,Decal Fix,#FFFFFF
73.214,Medium de Desgaste,Chipping Medium,#FFFFFF
70.853,Pátina Blanca,White Glaze,#F0EFEF
70.832,Pátina Verdín,Verdigris Glaze,#95C8BC
70.831,Pátina Ocre,Tan Glaze,#BC8A50
70.854,Pátina Marrón,Brown Glaze,#3F3936
70.855,Pátina Negro,Black Glaze,#2F3131
70.730,Amarillo Fluo,Yellow Fluo,#E6E46E
70.733,Naranja Fluo,Orange Fluo,#D2663B
70.735,Magenta Fluo,Magenta Fluo,#CB538A
70.736,Azul Fluo,Blue Fluo,#36689E
70.737,Verde Fluo,Green Fluo,#9DC472
70.790,Plata,Silver,#C7CDCD
70.791,Oro,Gold,#9E937F
70.792,Oro Viejo,Old Gold,#B4AA4F
70.793,Oro Rico,Rich Gold,#957B43
70.794,Oro Rojo,Red Gold,#B48943
70.795,Oro Verde,Green Gold,#7A6B3D
70.796,Oro Blanco,White Gold,#D3D5D1
70.797,Cobre,Copper,#804632
